=== Run information ===	

Scheme:       weka.classifiers.bayes.NaiveBayes 	
Relation:     DigitalCircuitsComboRecognizer-weka.filters.unsupervised.attribute.Remove-R2	28-61
Instances:    1640	
Attributes:   27	
              NumStrokes	
              Image_AND	
              Image_OR	
              Image_NAND	
              Image_NOR	
              Image_NOT	
              Image_NOTBUBBLE	
              Image_XOR	
              Image_LabelBox	
              Rubine_BackLine	
              Rubine_FrontArc
              Rubine_BackArc
              Rubine_TopArc
              Rubine_BottomArc
              Rubine_Bubble
              Rubine_TopLine
              Rubine_BottomLine
              Rubine_Triangle
              Rubine_GreaterThan
              Rubine_TouchUp
              Rubine_Junk
              Rubine_LabelBoxOther
              Rubine_Not_V
              Rubine_Not_Hat
              Rubine_Entire_OR
              Rubine_Entire_AND
              class											
Test mode:    10-fold cross-validation											

=== Predictions on test data ===											

 inst#	    actual	 predicted	 error	 probability distribution							
56	2:OR	2:OR		0.123	0.527	0.001	0	0	0	0	0.35
57	2:OR	2:OR		0	1	0	0	0	0	0	0
58	2:OR	2:OR		0.275	0.725	0	0	0	0	0	0
59	2:OR	2:OR		0.001	0.999	0	0	0	0	0	0
60	2:OR	2:OR		0.001	0.999	0	0	0	0	0	0
61	2:OR	2:OR		0	0.547	0	0.008	0	0	0	0.445
62	2:OR	2:OR		0	0.999	0	0	0	0	0.001	0
63	7:XOR	7:XOR		0	0.024	0	0.004	0	0	0.972	0
64	7:XOR	7:XOR		0	0.003	0	0	0	0	0.997	0
65	7:XOR	2:OR	+	0.001	0.63	0	0	0	0	0.367	0.002
66	7:XOR	7:XOR		0	0	0	0	0	0	1	0
67	7:XOR	7:XOR		0	0	0	0	0	0	1	0
68	7:XOR	7:XOR		0	0.026	0	0	0	0	0.974	0
69	7:XOR	7:XOR		0	0	0	0	0	0	1	0
70	7:XOR	7:XOR		0	0	0	0	0	0	1	0
71	7:XOR	7:XOR		0	0	0	0	0	0	1	0
72	7:XOR	7:XOR		0	0	0	0	0	0	1	0
73	7:XOR	7:XOR		0	0	0	0	0	0	1	0
74	7:XOR	7:XOR		0	0	0	0	0	0	1	0
75	7:XOR	7:XOR		0	0	0	0	0	0	1	0
76	7:XOR	7:XOR		0	0	0	0	0	0	1	0
77	7:XOR	2:OR	+	0.001	0.979	0	0	0	0	0.01	0.01
78	1:AND	1:AND		1	0	0	0	0	0	0	0
79	1:AND	1:AND		1	0	0	0	0	0	0	0
80	1:AND	1:AND		1	0	0	0	0	0	0	0
81	1:AND	1:AND		1	0	0	0	0	0	0	0
82	1:AND	1:AND		0.981	0.018	0	0	0	0	0	0.001
83	1:AND	1:AND		1	0	0	0	0	0	0	0
84	1:AND	1:AND		1	0	0	0	0	0	0	0
85	1:AND	1:AND		1	0	0	0	0	0	0	0
86	1:AND	1:AND		1	0	0	0	0	0	0	0
87	1:AND	1:AND		1	0	0	0	0	0	0	0
88	1:AND	1:AND		0.506	0.48	0	0	0	0	0	0.014
89	1:AND	1:AND		1	0	0	0	0	0	0	0
90	1:AND	1:AND		1	0	0	0	0	0	0	0
91	1:AND	1:AND		1	0	0	0	0	0	0	0
92	1:AND	1:AND		1	0	0	0	0	0	0	0
93	1:AND	8:LabelBox	+	0	0.004	0	0	0.002	0	0	0.994
94	1:AND	1:AND		1	0	0	0	0	0	0	0
95	1:AND	1:AND		0.998	0	0	0	0	0	0	0.002
96	1:AND	1:AND		1	0	0	0	0	0	0	0
97	1:AND	1:AND		0.978	0	0	0	0	0	0	0.022
98	1:AND	1:AND		0.996	0	0	0	0	0	0	0.004
99	1:AND	1:AND		0.823	0.005	0	0	0	0	0	0.171
100	1:AND	1:AND		0.999	0	0	0	0	0	0	0.001
101	1:AND	1:AND		0.994	0.002	0	0	0	0	0	0.004
102	1:AND	1:AND		1	0	0	0	0	0	0	0
103	1:AND	1:AND		0.969	0.003	0	0	0	0	0	0.028
104	1:AND	2:OR	+	0.275	0.725	0	0	0	0	0	0
105	1:AND	1:AND		0.981	0.018	0	0	0	0	0	0.001
106	1:AND	1:AND		0.545	0.454	0	0	0	0	0	0.001
107	1:AND	1:AND		1	0	0	0	0	0	0	0
108	1:AND	1:AND		1	0	0	0	0	0	0	0
109	1:AND	1:AND		0.996	0	0	0	0	0	0	0.004
110	1:AND	1:AND		0.645	0.057	0	0	0	0	0	0.297
111	1:AND	1:AND		0.997	0	0	0	0	0	0	0.003
112	1:AND	1:AND		0.967	0	0	0	0	0	0	0.033
113	1:AND	1:AND		1	0	0	0	0	0	0	0
114	1:AND	1:AND		1	0	0	0	0	0	0	0
115	1:AND	1:AND		1	0	0	0	0	0	0	0
116	1:AND	2:OR	+	0.275	0.725	0	0	0	0	0	0
117	1:AND	1:AND		1	0	0	0	0	0	0	0
118	1:AND	1:AND		1	0	0	0	0	0	0	0
119	1:AND	1:AND		1	0	0	0	0	0	0	0
120	1:AND	1:AND		0.996	0	0	0	0	0	0	0.004
121	1:AND	1:AND		0.956	0.006	0	0	0	0	0	0.037
122	3:NAND	3:NAND		0	0	0.98	0	0.018	0	0	0.002
123	3:NAND	3:NAND		0.001	0	0.94	0	0.051	0	0	0.009
124	3:NAND	2:OR	+	0.001	0.771	0.128	0.087	0.003	0	0.005	0.005
125	3:NAND	3:NAND		0	0.006	0.642	0.001	0.303	0	0	0.047
126	3:NAND	8:LabelBox	+	0.084	0.019	0.116	0	0.305	0	0	0.477
127	3:NAND	5:NOT	+	0	0	0.024	0	0.976	0	0	0
128	3:NAND	3:NAND		0.001	0	0.94	0	0.051	0	0	0.009
129	3:NAND	3:NAND		0.001	0	0.76	0.002	0.221	0	0	0.016
130	3:NAND	3:NAND		0	0	0.98	0	0.018	0	0	0.002
131	8:LabelBox	1:AND	+	0.843	0.003	0	0	0	0	0	0.154
132	8:LabelBox	8:LabelBox		0.008	0.106	0	0	0.005	0	0	0.881
133	8:LabelBox	8:LabelBox		0.001	0	0	0	0	0	0	0.999
134	8:LabelBox	8:LabelBox		0.002	0.002	0.027	0	0.018	0	0	0.951
135	8:LabelBox	8:LabelBox		0.005	0	0	0	0	0	0	0.995
136	8:LabelBox	8:LabelBox		0.01	0.006	0.001	0	0.084	0	0	0.898
137	8:LabelBox	8:LabelBox		0.025	0.02	0	0	0	0	0	0.955
138	8:LabelBox	8:LabelBox		0.197	0.167	0	0	0	0	0	0.636
139	8:LabelBox	1:AND	+	0.996	0	0	0	0	0	0	0.004
140	8:LabelBox	8:LabelBox		0.021	0.011	0	0	0	0.006	0	0.962
141	8:LabelBox	8:LabelBox		0.017	0	0	0	0	0	0	0.983
142	8:LabelBox	8:LabelBox		0	0	0	0	0	0	0	1
143	8:LabelBox	1:AND	+	0.932	0	0	0	0	0	0	0.068
144	8:LabelBox	8:LabelBox		0.172	0.271	0.007	0	0.01	0	0	0.54
145	8:LabelBox	8:LabelBox		0	0	0	0	0	0	0	1
146	8:LabelBox	1:AND	+	0.932	0	0	0	0	0	0	0.068
147	8:LabelBox	1:AND	+	0.712	0.002	0	0	0	0	0	0.285
148	8:LabelBox	1:AND	+	0.853	0	0	0	0	0	0	0.147
149	8:LabelBox	1:AND	+	0.939	0.001	0	0	0	0	0	0.06
150	8:LabelBox	8:LabelBox		0.041	0	0.001	0	0	0	0	0.958
151	4:NOR	5:NOT	+	0	0.01	0.002	0.119	0.748	0	0	0.12
152	4:NOR	2:OR	+	0.001	0.398	0	0.002	0.092	0	0.244	0.263
153	4:NOR	4:NOR		0	0.01	0.004	0.982	0.003	0	0.001	0
154	4:NOR	4:NOR		0	0.171	0	0.764	0	0	0.063	0.001
155	4:NOR	2:OR	+	0.001	0.496	0.001	0.445	0.006	0	0.004	0.046
156	4:NOR	2:OR	+	0.058	0.705	0	0.017	0.006	0.002	0	0.212
157	4:NOR	4:NOR		0	0.001	0	0.998	0	0	0.001	0
158	4:NOR	2:OR	+	0.014	0.491	0.17	0.092	0.143	0	0	0.09
159	6:NOTBUBBL	6:NOTBUBBL		0.004	0	0	0	0	0.957	0	0.039
160	6:NOTBUBBL	6:NOTBUBBL		0.009	0	0	0	0	0.984	0	0.006
161	6:NOTBUBBL	2:OR	+	0	0.871	0	0	0	0	0	0.129
162	6:NOTBUBBL	6:NOTBUBBL		0	0.001	0	0	0.002	0.99	0	0.006
163	6:NOTBUBBL	8:LabelBox	+	0.067	0.145	0	0	0.003	0.174	0	0.61
164	6:NOTBUBBL	6:NOTBUBBL		0	0.001	0	0	0.002	0.99	0	0.006
1	5:NOT	5:NOT		0	0	0	0	1	0	0	0
2	5:NOT	5:NOT		0.001	0.005	0.112	0.003	0.867	0	0	0.011
3	5:NOT	5:NOT		0	0	0	0	1	0	0	0
4	5:NOT	5:NOT		0	0	0	0	1	0	0	0
5	5:NOT	5:NOT		0	0	0	0	0.999	0	0	0.001
6	5:NOT	5:NOT		0	0	0	0	1	0	0	0
7	5:NOT	5:NOT		0	0	0	0	1	0	0	0
8	5:NOT	5:NOT		0	0	0.022	0	0.973	0	0	0.005
9	5:NOT	5:NOT		0	0	0	0	1	0	0	0
10	5:NOT	5:NOT		0.002	0.001	0.007	0	0.985	0	0	0.005
11	5:NOT	5:NOT		0	0	0	0	0.999	0	0	0.001
12	5:NOT	5:NOT		0	0	0	0	1	0	0	0
13	5:NOT	5:NOT		0	0	0	0	1	0	0	0
14	5:NOT	5:NOT		0	0	0	0	0.999	0	0	0
15	5:NOT	5:NOT		0	0	0	0	0.999	0	0	0
16	5:NOT	5:NOT		0	0	0	0	1	0	0	0
17	5:NOT	5:NOT		0	0	0	0	0.999	0	0	0.001
18	5:NOT	5:NOT		0	0	0	0	1	0	0	0
19	5:NOT	5:NOT		0	0	0	0	1	0	0	0
20	5:NOT	5:NOT		0	0	0.001	0	0.999	0	0	0.001
21	5:NOT	5:NOT		0	0	0	0	1	0	0	0
22	5:NOT	5:NOT		0	0	0	0	1	0	0	0
23	5:NOT	5:NOT		0	0	0	0	1	0	0	0
24	5:NOT	5:NOT		0	0.002	0.007	0.278	0.448	0	0.018	0.247
25	5:NOT	5:NOT		0	0	0	0	1	0	0	0
26	5:NOT	5:NOT		0	0	0	0	1	0	0	0
27	5:NOT	3:NAND	+	0	0.002	0.873	0	0.092	0	0	0.033
28	5:NOT	5:NOT		0	0	0	0	1	0	0	0
29	5:NOT	5:NOT		0	0	0	0	1	0	0	0
30	5:NOT	3:NAND	+	0	0	0.99	0	0.009	0	0	0.002
31	5:NOT	3:NAND	+	0	0	0.938	0	0.06	0	0	0.002
32	2:OR	2:OR		0	0.591	0	0.07	0	0	0.328	0.011
33	2:OR	2:OR		0.003	0.847	0	0.021	0.112	0	0	0.017
34	2:OR	2:OR		0	1	0	0	0	0	0	0
35	2:OR	2:OR		0.023	0.77	0	0	0	0.053	0.011	0.143
36	2:OR	3:NAND	+	0.03	0.44	0.482	0.018	0.001	0	0.001	0.028
37	2:OR	1:AND	+	0.771	0.211	0	0	0	0	0	0.018
38	2:OR	2:OR		0	0.999	0	0	0	0	0	0
39	2:OR	2:OR		0.001	0.999	0	0	0	0	0	0
40	2:OR	2:OR		0.001	0.999	0	0	0	0	0	0
41	2:OR	2:OR		0.001	0.997	0	0	0	0	0.002	0
42	2:OR	2:OR		0.032	0.968	0	0	0	0	0	0
43	2:OR	1:AND	+	0.997	0.003	0	0	0	0	0	0
44	2:OR	8:LabelBox	+	0.287	0.261	0.018	0	0.013	0	0	0.421
45	2:OR	2:OR		0.001	0.999	0	0	0	0	0	0
46	2:OR	2:OR		0	1	0	0	0	0	0	0
47	2:OR	2:OR		0.001	0.996	0	0	0	0	0	0.003
48	2:OR	2:OR		0.042	0.594	0	0.006	0.119	0	0	0.239
49	2:OR	2:OR		0	1	0	0	0	0	0	0
50	2:OR	2:OR		0	0.896	0	0.013	0.001	0	0.078	0.011
51	2:OR	2:OR		0.001	0.999	0	0	0	0	0	0
52	2:OR	2:OR		0	0.649	0	0.001	0	0	0.35	0
53	2:OR	2:OR		0.196	0.804	0	0	0	0	0	0
54	2:OR	2:OR		0.001	0.999	0	0	0	0	0	0
55	2:OR	2:OR		0	1	0	0	0	0	0	0
56	2:OR	2:OR		0.032	0.968	0	0	0	0	0	0
57	2:OR	1:AND	+	0.982	0	0	0	0	0	0	0.017
58	2:OR	2:OR		0.196	0.804	0	0	0	0	0	0
59	2:OR	2:OR		0.013	0.987	0	0	0	0	0	0.001
60	2:OR	2:OR		0.001	0.999	0	0	0	0	0	0
61	2:OR	2:OR		0	0.998	0	0	0	0	0.002	0
62	2:OR	2:OR		0	1	0	0	0	0	0	0
63	7:XOR	7:XOR		0	0	0	0	0	0	1	0
64	7:XOR	7:XOR		0	0	0	0	0.006	0	0.994	0
65	7:XOR	7:XOR		0	0	0	0	0	0	1	0
66	7:XOR	7:XOR		0	0	0	0	0	0	1	0
67	7:XOR	2:OR	+	0.059	0.558	0	0	0	0	0.38	0.002
68	7:XOR	7:XOR		0	0	0	0	0	0	1	0
69	7:XOR	7:XOR		0	0	0	0	0	0	1	0
70	7:XOR	7:XOR		0	0	0	0	0	0	1	0
71	7:XOR	2:OR	+	0	0.991	0	0	0	0	0.009	0
72	7:XOR	7:XOR		0.005	0.029	0	0	0.012	0	0.946	0.009
73	7:XOR	7:XOR		0	0.485	0	0	0	0	0.515	0
74	7:XOR	7:XOR		0	0.01	0	0	0	0	0.99	0
75	7:XOR	7:XOR		0	0	0	0	0	0	1	0
76	7:XOR	7:XOR		0	0	0	0	0	0	1	0
77	7:XOR	7:XOR		0	0	0	0	0	0	1	0
78	1:AND	1:AND		1	0	0	0	0	0	0	0
79	1:AND	1:AND		1	0	0	0	0	0	0	0
80	1:AND	1:AND		1	0	0	0	0	0	0	0
81	1:AND	1:AND		0.988	0	0	0	0	0	0	0.012
82	1:AND	1:AND		0.978	0.021	0	0	0	0	0	0.001
83	1:AND	1:AND		1	0	0	0	0	0	0	0
84	1:AND	1:AND		1	0	0	0	0	0	0	0
85	1:AND	1:AND		1	0	0	0	0	0	0	0
86	1:AND	1:AND		0.996	0	0	0	0	0	0	0.004
87	1:AND	1:AND		1	0	0	0	0	0	0	0
88	1:AND	1:AND		0.915	0	0	0	0	0	0	0.085
89	1:AND	1:AND		1	0	0	0	0	0	0	0
90	1:AND	1:AND		1	0	0	0	0	0	0	0
91	1:AND	1:AND		0.997	0.003	0	0	0	0	0	0
92	1:AND	1:AND		0.763	0.153	0.001	0.001	0	0	0	0.083
93	1:AND	1:AND		1	0	0	0	0	0	0	0
94	1:AND	1:AND		1	0	0	0	0	0	0	0
95	1:AND	1:AND		0.983	0	0	0	0	0	0	0.016
96	1:AND	1:AND		0.956	0	0	0	0	0	0	0.044
97	1:AND	1:AND		1	0	0	0	0	0	0	0
98	1:AND	6:NOTBUBBL	+	0.281	0	0	0	0	0.458	0	0.26
99	1:AND	1:AND		1	0	0	0	0	0	0	0
100	1:AND	1:AND		1	0	0	0	0	0	0	0
101	1:AND	1:AND		1	0	0	0	0	0	0	0
102	1:AND	2:OR	+	0.032	0.968	0	0	0	0	0	0
103	1:AND	1:AND		1	0	0	0	0	0	0	0
104	1:AND	1:AND		0.824	0.001	0	0	0.001	0	0	0.174
105	1:AND	1:AND		0.916	0.001	0	0	0	0	0	0.083
106	1:AND	1:AND		1	0	0	0	0	0	0	0
107	1:AND	1:AND		0.969	0	0	0	0	0	0	0.031
108	1:AND	1:AND		0.998	0	0	0	0	0	0	0.002
109	1:AND	1:AND		0.887	0.001	0	0	0	0	0	0.112
110	1:AND	1:AND		0.995	0	0	0	0	0	0	0.004
111	1:AND	1:AND		1	0	0	0	0	0	0	0
112	1:AND	1:AND		1	0	0	0	0	0	0	0
113	1:AND	1:AND		1	0	0	0	0	0	0	0
114	1:AND	1:AND		1	0	0	0	0	0	0	0
115	1:AND	1:AND		1	0	0	0	0	0	0	0
116	1:AND	1:AND		1	0	0	0	0	0	0	0
117	1:AND	1:AND		0.999	0	0	0	0	0	0	0.001
118	1:AND	1:AND		1	0	0	0	0	0	0	0
119	1:AND	1:AND		0.995	0	0	0	0	0	0	0.005
120	1:AND	1:AND		1	0	0	0	0	0	0	0
121	1:AND	1:AND		1	0	0	0	0	0	0	0
122	3:NAND	5:NOT	+	0	0	0	0	1	0	0	0
123	3:NAND	3:NAND		0	0	0.799	0	0.196	0	0	0.004
124	3:NAND	3:NAND		0	0	0.938	0	0.06	0	0	0.002
125	3:NAND	3:NAND		0	0	0.99	0	0.009	0	0	0.002
126	3:NAND	3:NAND		0	0	0.99	0	0.009	0	0	0.002
127	3:NAND	1:AND	+	0.366	0.079	0.308	0.007	0.019	0	0	0.22
128	3:NAND	1:AND	+	0.987	0	0.004	0	0.004	0	0	0.005
129	3:NAND	4:NOR	+	0	0.095	0.369	0.515	0.019	0	0	0.001
130	3:NAND	1:AND	+	0.575	0.001	0.294	0	0.019	0	0	0.111
131	8:LabelBox	1:AND	+	0.552	0.004	0	0	0.014	0	0	0.429
132	8:LabelBox	2:OR	+	0.025	0.475	0.001	0	0.003	0	0.071	0.425
133	8:LabelBox	1:AND	+	0.52	0.001	0	0	0	0	0	0.479
134	8:LabelBox	1:AND	+	0.915	0	0	0	0	0	0	0.085
135	8:LabelBox	2:OR	+	0.235	0.756	0	0	0	0	0	0.008
136	8:LabelBox	8:LabelBox		0.073	0	0.001	0	0.001	0	0	0.925
137	8:LabelBox	8:LabelBox		0	0	0	0	0	0	0	1
138	8:LabelBox	8:LabelBox		0.004	0.319	0.002	0	0.016	0.196	0	0.462
139	8:LabelBox	8:LabelBox		0.346	0.005	0	0	0	0.001	0	0.648
140	8:LabelBox	8:LabelBox		0.305	0	0	0	0.002	0	0	0.693
141	8:LabelBox	8:LabelBox		0.051	0.039	0	0	0	0	0	0.909
142	8:LabelBox	1:AND	+	0.995	0	0	0	0	0	0	0.005
143	8:LabelBox	8:LabelBox		0.2	0.002	0	0	0	0	0	0.798
144	8:LabelBox	8:LabelBox		0	0	0	0	0.004	0	0	0.996
145	8:LabelBox	8:LabelBox		0	0	0	0	0	0	0	1
146	8:LabelBox	8:LabelBox		0.001	0	0	0	0	0	0	0.998
147	8:LabelBox	8:LabelBox		0.001	0.012	0	0	0	0	0	0.987
148	8:LabelBox	8:LabelBox		0.169	0.095	0	0	0	0	0	0.736
149	8:LabelBox	5:NOT	+	0	0	0	0	0.857	0	0	0.143
150	8:LabelBox	8:LabelBox		0.001	0.002	0	0	0	0	0	0.997
151	4:NOR	4:NOR		0	0.026	0	0.973	0	0	0.001	0
152	4:NOR	1:AND	+	0.732	0	0.221	0	0.014	0	0	0.032
153	4:NOR	4:NOR		0	0.006	0.004	0.987	0.002	0	0.001	0
154	4:NOR	4:NOR		0	0.218	0	0.778	0	0	0.003	0
155	4:NOR	4:NOR		0	0.006	0.004	0.987	0.002	0	0.001	0
156	4:NOR	2:OR	+	0	0.745	0	0.224	0	0	0.029	0.001
157	4:NOR	2:OR	+	0.001	0.742	0.008	0.115	0.011	0	0.005	0.118
158	4:NOR	2:OR	+	0	0.669	0	0.324	0	0	0.007	0
159	6:NOTBUBBL	6:NOTBUBBL		0	0.001	0	0	0.002	0.99	0	0.007
160	6:NOTBUBBL	6:NOTBUBBL		0.001	0	0	0	0	0.992	0	0.007
161	6:NOTBUBBL	8:LabelBox	+	0.104	0.005	0	0	0	0	0	0.892
162	6:NOTBUBBL	6:NOTBUBBL		0	0.001	0	0	0.002	0.99	0	0.007
163	6:NOTBUBBL	6:NOTBUBBL		0.001	0	0	0	0	0.988	0	0.011
164	6:NOTBUBBL	6:NOTBUBBL		0	0.001	0	0	0.002	0.99	0	0.007
1	5:NOT	5:NOT		0.001	0.001	0.003	0	0.995	0	0	0.001
2	5:NOT	5:NOT		0	0	0	0	1	0	0	0
3	5:NOT	5:NOT		0	0	0	0	1	0	0	0
4	5:NOT	5:NOT		0	0	0	0	1	0	0	0
5	5:NOT	5:NOT		0	0	0	0	1	0	0	0
6	5:NOT	5:NOT		0	0.003	0	0.001	0.996	0	0	0.001
7	5:NOT	5:NOT		0	0	0	0	1	0	0	0
8	5:NOT	5:NOT		0	0.002	0	0	0.982	0	0	0.016
9	5:NOT	5:NOT		0	0	0	0	1	0	0	0
10	5:NOT	5:NOT		0	0	0	0	1	0	0	0
11	5:NOT	5:NOT		0	0	0	0	1	0	0	0
12	5:NOT	5:NOT		0	0	0	0	0.998	0	0	0.001
13	5:NOT	5:NOT		0	0	0	0	0.999	0	0	0
14	5:NOT	5:NOT		0	0	0	0	1	0	0	0
15	5:NOT	5:NOT		0	0	0	0	1	0	0	0
16	5:NOT	5:NOT		0	0	0	0	1	0	0	0
17	5:NOT	5:NOT		0	0	0	0	1	0	0	0
18	5:NOT	5:NOT		0	0.001	0	0	0.998	0	0	0.001
19	5:NOT	5:NOT		0	0	0	0	1	0	0	0
20	5:NOT	5:NOT		0	0	0	0	1	0	0	0
21	5:NOT	5:NOT		0	0	0	0	1	0	0	0
22	5:NOT	8:LabelBox	+	0.002	0.004	0.068	0.002	0.185	0	0	0.739
23	5:NOT	5:NOT		0	0	0	0	1	0	0	0
24	5:NOT	3:NAND	+	0	0.003	0.838	0	0.12	0	0	0.039
25	5:NOT	5:NOT		0.02	0.183	0.018	0.001	0.66	0	0	0.116
26	5:NOT	5:NOT		0	0.001	0	0	0.998	0	0	0.001
27	5:NOT	5:NOT		0	0	0	0	1	0	0	0
28	5:NOT	5:NOT		0	0	0	0	1	0	0	0
29	5:NOT	3:NAND	+	0.014	0.037	0.759	0	0.153	0	0	0.038
30	5:NOT	5:NOT		0	0	0	0	1	0	0	0
31	5:NOT	5:NOT		0	0	0	0	1	0	0	0
32	2:OR	2:OR		0.056	0.929	0	0	0	0	0	0.014
33	2:OR	2:OR		0	1	0	0	0	0	0	0
34	2:OR	2:OR		0.002	0.998	0	0	0	0	0	0
35	2:OR	2:OR		0	1	0	0	0	0	0	0
36	2:OR	2:OR		0.001	0.999	0	0	0	0	0	0
37	2:OR	2:OR		0	1	0	0	0	0	0	0
38	2:OR	2:OR		0	0.993	0	0.002	0	0	0.004	0.001
39	2:OR	2:OR		0	1	0	0	0	0	0	0
40	2:OR	2:OR		0.002	0.997	0	0	0	0	0	0
41	2:OR	2:OR		0	1	0	0	0	0	0	0
42	2:OR	2:OR		0.005	0.995	0	0	0	0	0	0
43	2:OR	2:OR		0	1	0	0	0	0	0	0
44	2:OR	5:NOT	+	0	0.022	0	0	0.885	0	0	0.093
45	2:OR	2:OR		0	1	0	0	0	0	0	0
46	2:OR	2:OR		0	1	0	0	0	0	0	0
47	2:OR	2:OR		0	1	0	0	0	0	0	0
48	2:OR	2:OR		0.001	0.999	0	0	0	0	0	0
49	2:OR	2:OR		0	1	0	0	0	0	0	0
50	2:OR	2:OR		0.001	0.989	0	0	0	0	0.01	0
51	2:OR	2:OR		0.002	0.997	0	0	0	0	0	0
52	2:OR	2:OR		0	1	0	0	0	0	0	0
53	2:OR	2:OR		0.001	0.999	0	0	0	0	0	0
54	2:OR	2:OR		0.001	0.999	0	0	0	0	0	0
55	2:OR	2:OR		0.005	0.994	0	0	0	0	0	0
56	2:OR	2:OR		0.035	0.965	0	0	0	0	0	0
57	2:OR	2:OR		0	1	0	0	0	0	0	0
58	2:OR	2:OR		0	1	0	0	0	0	0	0
59	2:OR	2:OR		0.012	0.987	0	0	0	0	0	0.001
60	2:OR	2:OR		0	1	0	0	0	0	0	0
61	2:OR	2:OR		0	1	0	0	0	0	0	0
62	2:OR	1:AND	+	1	0	0	0	0	0	0	0
63	7:XOR	7:XOR		0	0	0	0	0	0	1	0
64	7:XOR	8:LabelBox	+	0	0.384	0	0	0.005	0	0	0.61
65	7:XOR	2:OR	+	0.003	0.979	0	0	0	0	0.017	0.001
66	7:XOR	7:XOR		0	0	0	0	0	0	1	0
67	7:XOR	7:XOR		0	0	0	0	0	0	1	0
68	7:XOR	7:XOR		0	0	0	0	0	0	1	0
69	7:XOR	7:XOR		0	0.003	0	0	0	0	0.997	0
70	7:XOR	7:XOR		0	0	0	0	0	0	1	0
71	7:XOR	7:XOR		0	0	0	0	0	0	1	0
72	7:XOR	7:XOR		0	0	0	0	0	0	1	0
73	7:XOR	2:OR	+	0.01	0.693	0	0	0	0	0.297	0
74	7:XOR	7:XOR		0.033	0.311	0	0	0.032	0	0.363	0.26
75	7:XOR	7:XOR		0	0	0	0	0	0	1	0
76	7:XOR	7:XOR		0	0	0	0	0	0	1	0
77	1:AND	1:AND		1	0	0	0	0	0	0	0
78	1:AND	1:AND		1	0	0	0	0	0	0	0
79	1:AND	1:AND		0.942	0.002	0	0	0	0	0	0.055
80	1:AND	1:AND		1	0	0	0	0	0	0	0
81	1:AND	1:AND		1	0	0	0	0	0	0	0
82	1:AND	1:AND		0.999	0	0	0	0	0	0	0.001
83	1:AND	8:LabelBox	+	0.187	0.009	0	0	0	0.001	0	0.803
84	1:AND	1:AND		0.986	0.011	0	0	0	0	0	0.003
85	1:AND	1:AND		1	0	0	0	0	0	0	0
86	1:AND	1:AND		1	0	0	0	0	0	0	0
87	1:AND	1:AND		1	0	0	0	0	0	0	0
88	1:AND	1:AND		1	0	0	0	0	0	0	0
89	1:AND	1:AND		1	0	0	0	0	0	0	0
90	1:AND	1:AND		0.938	0	0	0	0	0	0	0.062
91	1:AND	1:AND		1	0	0	0	0	0	0	0
92	1:AND	1:AND		0.862	0.137	0	0	0	0	0	0
93	1:AND	1:AND		0.999	0	0	0	0	0	0	0.001
94	1:AND	1:AND		1	0	0	0	0	0	0	0
95	1:AND	1:AND		0.997	0	0	0	0	0	0	0.003
96	1:AND	1:AND		1	0	0	0	0	0	0	0
97	1:AND	1:AND		1	0	0	0	0	0	0	0
98	1:AND	1:AND		1	0	0	0	0	0	0	0
99	1:AND	1:AND		0.657	0.013	0	0	0	0	0	0.33
100	1:AND	1:AND		1	0	0	0	0	0	0	0
101	1:AND	1:AND		0.938	0	0	0	0	0	0	0.062
102	1:AND	1:AND		1	0	0	0	0	0	0	0
103	1:AND	1:AND		1	0	0	0	0	0	0	0
104	1:AND	2:OR	+	0.005	0.994	0	0	0	0	0	0
105	1:AND	1:AND		1	0	0	0	0	0	0	0
106	1:AND	1:AND		0.998	0.002	0	0	0	0	0	0
107	1:AND	1:AND		0.997	0	0	0	0	0	0	0.003
108	1:AND	1:AND		1	0	0	0	0	0	0	0
109	1:AND	1:AND		0.999	0	0	0	0	0	0	0
110	1:AND	1:AND		1	0	0	0	0	0	0	0
111	1:AND	1:AND		1	0	0	0	0	0	0	0
112	1:AND	8:LabelBox	+	0.038	0.007	0.001	0	0.029	0	0	0.925
113	1:AND	1:AND		0.739	0.112	0	0	0.001	0	0	0.148
114	1:AND	1:AND		1	0	0	0	0	0	0	0
115	1:AND	1:AND		0.999	0	0	0	0	0	0	0
116	1:AND	1:AND		0.997	0	0	0	0	0	0	0.003
117	1:AND	1:AND		0.995	0	0	0	0	0	0	0.005
118	1:AND	1:AND		0.998	0	0	0	0	0	0	0.002
119	1:AND	1:AND		1	0	0	0	0	0	0	0
120	1:AND	1:AND		1	0	0	0	0	0	0	0
121	1:AND	1:AND		1	0	0	0	0	0	0	0
122	3:NAND	3:NAND		0.011	0.001	0.95	0	0.004	0	0	0.035
123	3:NAND	5:NOT	+	0.012	0.002	0.005	0	0.914	0	0	0.067
124	3:NAND	3:NAND		0	0	0.982	0	0.015	0	0	0.002
125	3:NAND	3:NAND		0	0	0.885	0	0.082	0	0	0.032
126	3:NAND	3:NAND		0	0	0.982	0	0.015	0	0	0.002
127	3:NAND	3:NAND		0	0	0.982	0	0.015	0	0	0.002
128	3:NAND	3:NAND		0	0	0.982	0	0.015	0	0	0.002
129	3:NAND	3:NAND		0.001	0.001	0.806	0	0.183	0	0	0.009
130	3:NAND	1:AND	+	0.831	0	0.12	0	0.014	0	0	0.035
